"x"
"1" "LEADERS	That  SHOULD  be a cause for celebration on both sides of the border"
"1064" "INTERNATIONAL	The idea is that users of clean water and other benefits from the forest  SHOULD  pay for them, using markets in which they are buyers and the people who look after the trees are sellers"
"1065" "BUSINESS	The recent privatisation of electricity generation and distribution  SHOULD  bring more reliable power supplies"
"1066" "BUSINESS	As the businesses belong to the employees, the incentives of managers and proprietors  SHOULD  be aligned"
"1067" "BUSINESS	There are good reasons why vocational education  SHOULD  be gaining ground"
"1068" "LEADERS	But justice  SHOULD  not be based on extortion behind closed doors"
"1069" "LEADERS	Why a state government  SHOULD  get any share at all of a French firm’s fine for defying the federal government’s foreign policy is not clear"
"1070" "LEADERS	That is hardly in the interests of the regulators or their managerial prey, but shareholders at least  SHOULD  push for that"
"1071" "LEADERS	Prosecutors and regulators  SHOULD  also be required to publish the reasons why, given the gravity of their initial accusations, they did not take the matter all the way to court"
"1072" "LEADERS	Angie, we can say you never tried Despite the gloom, there  SHOULD  be scope here for a bargain"
"1073" "LEADERS	If Mr Hollande and Mr Renzi can show they are sincere about structural reforms, Mrs Merkel  SHOULD  be willing to tolerate an easier fiscal stance (including higher public investment in Germany) and a looser monetary policy"
"1074" "LEADERS	NATO’s European members  SHOULD  show their serious intent in another way, too"
"1075" "LEADERS	What NATO needs above all is more deployable and better-equipped forces—and European leaders prepared to tell their voters why they  SHOULD  pay for them"
"1076" "LEADERS	It is welcome that the world’s most populous democracy  SHOULD  make its influence felt in its region"
"1077" "LEADERS	Given how much it has to gain from peace with Pakistan, India  SHOULD  strive to launch talks that were recently put off because it objected to contacts between Pakistani diplomats and Kashmiri separatists"
"1078" "LEADERS	For Mr Modi, a Hindu nationalist who is feared by many Indian Muslims, a settlement with Pakistan  SHOULD  be a special priority"
"1079" "LEADERS	Second, to promote India as a trading nation, Mr Modi  SHOULD  ditch protectionism"
"1080" "LEADERS	Palestinians  SHOULD  query the common sense, let alone the morality, of Hamas firing its fairly useless rockets randomly into Israel if the result is destruction for Gaza on such a scale"
"1081" "LETTERS	By the same logic, do you think it is right that people  SHOULD  sell their organs"
"1082" "LETTERS	More sensitivity was required and you  SHOULD  have avoided giving the impression of titillating readers and objectifying sex workers"
"1083" "LETTERS	David DoeOxted, Surrey    The Iraq problem * SIR – I was struck when reading your recent leader about the current situation in Iraq that you stressed what America is doing and  SHOULD  be doing with no mention of your own government’s involvement (“Back to Iraq”, August 16th)"
"1084" "LETTERS	Why do you assume that the entire burden of the Western reaction to events in Iraq  SHOULD  fall on America, with only 5-6% of the world’s population"
"1085" "LETTERS	I have many misgivings about current American actions in Iraq but I feel that other nations, unless they contribute to solving the Iraq problem,  SHOULD  not criticise or advise us to commit our blood and money to the anti-ISIS battle"
"1086" "LETTERS	This might be a worthwhile endeavour but the people risking life and limb and training all year to generate these sums  SHOULD  be acknowledged and compensated—with paychecks, health insurance, and a pension—for what they are: hired athletic entertainers"
"1087" "LETTERS	These sports  SHOULD  be regulated and compensated the same as any other entertainment"
"1088" "LETTERS	The school factor  SHOULD  be dispensed with and the money stream "
"1089" "BRIEFING	In a speech before the New York Bar Association last November that was widely shared on social media, Jed Rakoff, a federal judge in New York, argued that the focus  SHOULD  be on individuals, and that not prosecuting individual malefactors after the financial crisis, despite widespread indications of fraud, may “be judged one of the more egregious failures of the criminal justice system in many years”"
"1090" "BRIEFING	If that is true for an individual, perhaps it  SHOULD  also apply to a company, or an individual employed by one"
"1091" "BRIEFING	It raises a lot of questions about what a company can and  SHOULD  know about those customers"
"1092" "BRIEFING	But fines pale before the other changes in the relationship between companies and the state in recent years, particularly the idea that the state  SHOULD  play a direct role in rehabilitating companies"
"1093" "BRIEFING	” To the surprise of prosecutors and corporate attorneys, in July John Gleeson, a federal judge in Brooklyn, approved a deferred prosecution for a money-laundering case against HSBC, but stipulated that the bank  SHOULD  remain under court supervision"
"1094" "BRIEFING	The authors conclude that in such cases the company itself  SHOULD  be held accountable"
"1095" "AMERICAS	Many Colombians say the FARC’s leaders  SHOULD  at least serve similar jail time"
"1096" "AMERICAS	He talks of a murder case where a jury foreman misunderstood the word “unanimous” and reported a guilty verdict when he  SHOULD  not have done so; that mistake, when it came to light, could be unpicked only by a presidential pardon"
"1097" "ASIA	His decision in July to reinterpret Japan’s pacifist constitution to allow for “collective self-defence”, in other words for Japan to help its allies  SHOULD  they be attacked, has not helped either"
"1098" "ASIA	  But in celebrating victory, his supporters  SHOULD  not forget that Jokowi nearly lost the fight, having slipped from a 30-point lead in the polls to a virtual tie"
"1099" "ASIA	In the early days of independence, he says, the hardship was tolerable; given the oil money the country  SHOULD  be enjoying, it is so no longer"
"1100" "CHINA	His call this month for strict pay caps on the bosses of big SOEs  SHOULD  be read as a warning to them to fall in line"
"1101" "EUROPE	It was a “financial absurdity” and an “economic aberration”, he declared, and France  SHOULD  not be “aligning itself with the obsessions of the German right”"
"1102" "EUROPE	The upshot  SHOULD  be less muddle over French economic policy"
"1103" "EUROPE	A new minimum wage  SHOULD  also nudge wages up"
"1104" "BRITAIN	Gavin Hewitt, a former chief executive of the SWA, has claimed that Angus Robertson, the SNP’s leading MP in Westminster, tried to convey the message that the organisation  SHOULD  stay out of the debate"
"1105" "BUSINESS	Lower prices  SHOULD  persuade more firms to follow Edmunds"
"1106" "BUSINESS	That sense of disappointment  SHOULD  be no surprise"
"1107" "BUSINESS	Little green men But why  SHOULD  firms make sustainability central to what they do"
"1108" "OBITUARY	EVEN as a child, she knew how poetry  SHOULD  sound"
"1109" "LEADERS	In this sectionThe long game The struggle for Hong Kong Wireless wheels The measure of Marina Googlephobia Reprints     That overdue clarity  SHOULD  guide the West in the ongoing struggle for Ukraine"
"1110" "LEADERS	And it  SHOULD  prepare its leaders for the longer and broader confrontation with Russia that lies ahead, which may stretch all round its borders"
"1111" "LEADERS	The measures under discussion in Washington and Brussels  SHOULD  be much tougher than previous sanctions, including the limp reaction to the annexation of Crimea"
"1112" "LEADERS	Every member of Russian’s craven parliament, security services and government  SHOULD  face visa bans and asset freezes"
"1113" "LEADERS	The offshore assets of top Russian kleptocrats  SHOULD  be identified and seized"
"1114" "LEADERS	Russia’s energy and defence sectors must be squeezed and its sovereign bonds  SHOULD  be shunned: Western lenders "
"1115" "LEADERS	One aim of all this  SHOULD  be to bolster Ukraine’s hand in the negotiations that, sooner or later, it will probably have to enter"
"1116" "LEADERS	And even if Western punishment fails to modify his behaviour in the short term, the underlying goal  SHOULD  be to tame him (and perhaps his successors) in the future, for Ukraine is plainly not the end"
"1117" "LEADERS	Others  SHOULD  follow"
"1118" "LEADERS	Governments  SHOULD  then set firm deadlines for all new cars to be fully connected and capable of platooning, and a date for existing cars to be retrofitted with a basic locator beacon and the ability to receive hazard warnings"
"1119" "LEADERS	Motorists will then have the incentive, as well as the ability, to avoid the busiest places at the busiest times, and the dreadful toll that roads take in human lives  SHOULD  start falling"
